"date","open","high","low","close","volume","adjusted","Symbol","Year","month"
"2020-01-03",39.439999,40.650002,39.400002,40.490002,5237800,40.490002,"Sea (Garena)","2020","01"
"2020-01-10",40.759998,40.91,39.34,39.580002,3360900,39.580002,"Sea (Garena)","2020","01"
"2020-01-17",40.75,41.34,40.700001,41.279999,3217500,41.279999,"Sea (Garena)","2020","01"
"2020-01-24",46.060001,46.5,44.349998,45.330002,5869400,45.330002,"Sea (Garena)","2020","01"
"2020-01-31",45.279999,45.575001,44.810001,45.240002,2784500,45.240002,"Sea (Garena)","2020","01"
"2020-02-07",46.580002,46.709999,45.529999,46.200001,3073100,46.200001,"Sea (Garena)","2020","02"
"2020-02-14",48.5,49.330002,48.16,48.490002,3698000,48.490002,"Sea (Garena)","2020","02"
"2020-02-21",52.169998,52.389999,51.450001,51.849998,5698300,51.849998,"Sea (Garena)","2020","02"
"2020-02-28",43.639999,45.540001,43.5,45.060001,5054400,45.060001,"Sea (Garena)","2020","02"
"2020-03-06",50.66,51.169998,47.860001,50.349998,5801800,50.349998,"Sea (Garena)","2020","03"
"2020-03-13",44.93,45.110001,42.369999,44.509998,6643200,44.509998,"Sea (Garena)","2020","03"
"2020-03-20",41.700001,42.330002,37.994999,38,5849000,38,"Sea (Garena)","2020","03"
"2020-03-27",44.310001,46,43.5,43.93,4146800,43.93,"Sea (Garena)","2020","03"
"2020-04-03",43.400002,44.389999,40.41,42.099998,5554400,42.099998,"Sea (Garena)","2020","04"
"2020-04-09",46.5,47.900002,44.849998,45.07,3650000,45.07,"Sea (Garena)","2020","04"
"2020-04-17",55.25,55.25,52.669998,53.02,3781400,53.02,"Sea (Garena)","2020","04"
"2020-04-24",54.220001,54.720001,53.52,54.389999,2329900,54.389999,"Sea (Garena)","2020","04"
"2020-05-01",53.889999,55.040001,53.349998,54.779999,2053800,54.779999,"Sea (Garena)","2020","05"
"2020-05-08",61.16,63.299999,60.669998,62.490002,3231000,62.490002,"Sea (Garena)","2020","05"
"2020-05-15",60.09,62.189999,60,61.959999,6439600,61.959999,"Sea (Garena)","2020","05"
"2020-05-22",78.010002,79.192001,76.07,79,6901900,79,"Sea (Garena)","2020","05"
"2020-05-29",76.029999,79.889999,75.110001,79.800003,4958100,79.800003,"Sea (Garena)","2020","05"
"2020-06-05",86.519997,89.940002,85.610001,89.699997,5178900,89.699997,"Sea (Garena)","2020","06"
"2020-06-12",92,94.519997,90.559998,92.980003,4234300,92.980003,"Sea (Garena)","2020","06"
"2020-06-19",108.169998,110.129997,106.699997,106.940002,7589600,106.940002,"Sea (Garena)","2020","06"
"2020-06-26",103.540001,107.800003,101.610001,105.199997,4453900,105.199997,"Sea (Garena)","2020","06"
"2020-07-02",117.849998,119.230003,115.330002,117.620003,3278100,117.620003,"Sea (Garena)","2020","07"
"2020-07-10",121.529999,122.379997,118.449997,121,2501300,121,"Sea (Garena)","2020","07"
"2020-07-17",110.169998,111.760002,107.870003,109.040001,1697000,109.040001,"Sea (Garena)","2020","07"
"2020-07-24",105.43,108.199997,101.699997,107.120003,3797800,107.120003,"Sea (Garena)","2020","07"
"2020-07-31",124.510002,125.839996,120.099998,122.199997,4166700,122.199997,"Sea (Garena)","2020","07"
"2020-08-07",137.270004,140.442993,127.639999,129,5050200,129,"Sea (Garena)","2020","08"
"2020-08-14",128.309998,129.669998,124.389999,126.5,3299400,126.5,"Sea (Garena)","2020","08"
"2020-08-21",153.279999,154.279999,145.899994,147.419998,3934100,147.419998,"Sea (Garena)","2020","08"
"2020-08-28",154.479996,156.089996,151.979996,152.669998,2396500,152.669998,"Sea (Garena)","2020","08"
"2020-09-04",145.050003,145.710007,137.889999,144.149994,7891400,144.149994,"Sea (Garena)","2020","09"
"2020-09-11",142.270004,142.990005,138.074997,139.509995,2337000,139.509995,"Sea (Garena)","2020","09"
"2020-09-18",150.050003,150.979996,143.880005,147.550003,2542800,147.550003,"Sea (Garena)","2020","09"
"2020-09-25",150.740005,157.800003,149.550003,155.289993,4289600,155.289993,"Sea (Garena)","2020","09"
"2020-10-02",154.5,160.089996,154.330002,155.360001,3017000,155.360001,"Sea (Garena)","2020","10"
"2020-10-09",170,172.5,166.279999,172.119995,2645500,172.119995,"Sea (Garena)","2020","10"
"2020-10-16",170.169998,171.610001,164.880005,165.199997,2158300,165.199997,"Sea (Garena)","2020","10"
"2020-10-23",162,163.117004,158.789993,162.960007,1841200,162.960007,"Sea (Garena)","2020","10"
"2020-10-30",163.419998,164.740005,155.330002,157.699997,3226900,157.699997,"Sea (Garena)","2020","10"
"2020-11-06",184.789993,187.75,180.169998,186.789993,1734800,186.789993,"Sea (Garena)","2020","11"
"2020-11-13",181.199997,183.660004,176.630005,181.440002,2902900,181.440002,"Sea (Garena)","2020","11"
"2020-11-20",175.199997,184.059998,175.190002,183.110001,3841400,183.110001,"Sea (Garena)","2020","11"
"2020-11-27",180.5,182.75,178.220001,182.550003,1895800,182.550003,"Sea (Garena)","2020","11"
"2020-12-04",190.970001,203.423004,186.100006,198.779999,11898800,198.779999,"Sea (Garena)","2020","12"
"2020-12-11",194.300003,195.899994,190.25,193.380005,6945700,193.380005,"Sea (Garena)","2020","12"
"2020-12-18",198.960007,200.850006,196.600006,200.350006,2633200,200.350006,"Sea (Garena)","2020","12"
"2020-12-24",194.539993,197.300003,191.800003,193.179993,1132100,193.179993,"Sea (Garena)","2020","12"
"2020-12-31",196.740005,199.119995,194.529007,199.050003,3775300,199.050003,"Sea (Garena)","2020","12"
"2021-01-08",205.940002,213.600006,202.429993,210.160004,4604400,210.160004,"Sea (Garena)","2021","01"
"2021-01-15",230.880005,233.479996,222.080002,226.050003,2346800,226.050003,"Sea (Garena)","2021","01"
"2021-01-22",232.610001,236.789993,230.25,236.490005,2043100,236.490005,"Sea (Garena)","2021","01"
"2021-01-29",218.059998,221.610001,211.25,216.710007,3419600,216.710007,"Sea (Garena)","2021","01"
"2021-02-05",244,258.640015,242.393997,256.76001,3637700,256.76001,"Sea (Garena)","2021","02"
"2021-02-12",270.369995,277.380005,268.779999,276.119995,2604700,276.119995,"Sea (Garena)","2021","02"
"2021-02-19",271.829987,280.640015,270.880005,280,3561200,280,"Sea (Garena)","2021","02"
"2021-02-26",235.910004,242.850006,225,235.690002,4502600,235.690002,"Sea (Garena)","2021","02"
"2021-03-05",228.669998,231.289993,209.229996,229.759995,9360500,229.759995,"Sea (Garena)","2021","03"
"2021-03-12",230,235.169998,222.080002,234.990005,4015400,234.990005,"Sea (Garena)","2021","03"
"2021-03-19",211.740005,218.460007,209,214.899994,3433000,214.899994,"Sea (Garena)","2021","03"
"2021-03-26",205.199997,213.199997,201.610001,209.240005,5270000,209.240005,"Sea (Garena)","2021","03"
"2021-04-01",228.5,240,228.210007,236.449997,4868500,236.449997,"Sea (Garena)","2021","04"
"2021-04-09",253.029999,253.324997,248.649994,250.929993,2657600,250.929993,"Sea (Garena)","2021","04"
"2021-04-16",254.179993,254.259995,247.179001,252.419998,1925600,252.419998,"Sea (Garena)","2021","04"
"2021-04-23",250,259.204987,249.289993,258.589996,2700900,258.589996,"Sea (Garena)","2021","04"
"2021-04-30",255.009995,259.25,252.100006,252.539993,2011500,252.539993,"Sea (Garena)","2021","04"
"2021-05-07",242.990005,248.789993,238.020004,240.279999,2281400,240.279999,"Sea (Garena)","2021","05"
"2021-05-14",207.320007,218.274994,207.320007,216.690002,3488000,216.690002,"Sea (Garena)","2021","05"
"2021-05-21",246.149994,250.25,242.5,246.330002,4539900,246.330002,"Sea (Garena)","2021","05"
"2021-05-28",255.509995,261.339996,252.009995,253.240005,3174800,253.240005,"Sea (Garena)","2021","05"
"2021-06-04",252,260.524994,251.600006,256.820007,1953400,256.820007,"Sea (Garena)","2021","06"
"2021-06-11",272,278.519989,270.179993,277.690002,3048500,277.690002,"Sea (Garena)","2021","06"
"2021-06-18",284.600006,286.600006,280,282.48999,2529900,282.48999,"Sea (Garena)","2021","06"
"2021-06-25",290.01001,292.649994,282.850006,283.350006,3565600,283.350006,"Sea (Garena)","2021","06"
"2021-07-02",273.910004,279.649994,273.01001,273.700012,1873300,273.700012,"Sea (Garena)","2021","07"
"2021-07-09",268.380005,278.119995,267.920013,275.700012,1969900,275.700012,"Sea (Garena)","2021","07"
